lat,long,nombre_estacion,id_estacion,capacidad,dirección_completa,direccion_nombre,direccion_altura,direccion_interseccion,barrio
-34.5483593,-58.4475673,344 - UNIVERSIDAD DI TELLA,234,20,"Saenz Valiente, Juan Pablo 1001","Saenz Valiente, Juan Pablo",1001,,Belgrano
-34.5737764,-58.4868051,281 - JUAN MANUEL DE ROSAS,235,24,Triunvirato Av. y Roosevelt Franklin D. Av.,Triunvirato Av.,,Roosevelt Franklin D. Av.,Villa Urquiza
-34.5623422,-58.4550484,254 - Plaza Rafael Hernandez,236,16,Vuelta De Obligado 2004,Vuelta De Obligado,2004,,Belgrano
-34.6365814,-58.4367011,217 - CACHIMAYO,238,24,Cachimayo 1489,Cachimayo,1489,,Parque Chacabuco
-34.5650089,-58.4201625,391 - Plaza República de Ecuador,239,20,"Figueroa Alcorta, Pres. Av. y Dorrego Av.","Figueroa Alcorta, Pres. Av.",,Dorrego Av.,Palermo
-34.558137,-58.465559,239 - Vidal,240,24,Vidal 2799,Vidal,2799,,Belgrano
-34.600874,-58.494123,348 - Villa del Parque,241,12,"Gutierrez, Ricardo 3105","Gutierrez, Ricardo",3105,,Villa Del Parque
-34.5771741,-58.4032162,103 - MALBA,242,20,San Martin De Tours 3051,San Martin De Tours,3051,,Palermo
-34.5874735,-58.4842469,266 - Plaza Alfredo Nobel,244,20,Hamburgo 3310,Hamburgo,3310,,Parque Chas
-34.5522044,-58.4431506,248 - Husares,245,16,Husares 2201,Husares,2201,,Belgrano
-34.554326,-58.4389256,338 - Sucre y Dragones,246,16,"Sucre, Antonio Jose De, Mcal. 877","Sucre, Antonio Jose De, Mcal.",877,Dragones,Belgrano
-34.5839895,-58.4666304,282 - Tronador,247,18,Triunvirato Av. y Tronador,Triunvirato Av.,,Tronador,Villa Ortuzar
-34.5738411,-58.4742812,346 - Plaza Zapiola,248,20,Donado 2001,Donado,2001,,Villa Urquiza
-34.649843,-58.388562,307 - LEONARDO PEREYRA,249,16,California 2990,California,2990,,Barracas
-34.6526797,-58.377215,366 - Plaza Diaz Velez,250,16,"Cruz, Osvaldo Av. y San Antonio","Cruz, Osvaldo Av.",,San Antonio,Barracas
-34.6446224,-58.409772,388 - Plaza Jose C Paz,251,20,"Pepiri y Paz, Jose C.",Pepiri,,"Paz, Jose C.",Parque Patricios
-34.6445163,-58.3762137,331 - PLAZA HERRERA,252,16,"Herrera y Quinquela Martin, Benito",Herrera,,"Quinquela Martin, Benito",Barracas
-34.6172808,-58.4167728,383 - Boedo & Venezuela,253,20,Boedo Av. y Republica Bolivariana De Venezuela,Boedo Av.,,Republica Bolivariana De Venezuela,Almagro
-34.6206836,-58.4415718,276 - PRIMERA JUNTA,254,16,Rivadavia Av. y Barco Centenera Del,Rivadavia Av.,,Barco Centenera Del,Caballito
-34.6221889,-58.44855,374 - Puan,255,16,Yerbal 1290,Yerbal,1290,,Caballito
-34.610398,-58.454304,209 - PAYSANDU,256,20,Paysandu 1182,Paysandu,1182,,Caballito
-34.570829,-58.481233,264 - Plaza Marcos Sastre,257,24,Miller y Monroe,Miller,,Monroe,Villa Urquiza
-34.5655918,-58.4554838,336 - La Pampa,258,16,La Pampa 2250,La Pampa,2250,Ciudad De La Paz,Belgrano
-34.5580469,-58.4434052,290 - Club Excursionistas,259,16,Miñones 1818,Miñones,1818,,Belgrano
-34.550961,-58.4381142,371 - Paseo de las Americas,260,18,Juramento 646,Juramento,646,,Belgrano
-34.616207,-58.4406995,272 - Plaza Bruno Giordano,261,16,"Bruno, Giordano y Neuquen","Bruno, Giordano",,Neuquen,Caballito
-34.60962,-58.4673963,349 - Plaza Saenz Peña,262,16,"Lamas, Andres y Escalada De San Martin, R.","Lamas, Andres",,"Escalada De San Martin, R.",Villa General Mitre
-34.6217948,-58.4575279,270 - PLAZA DEL ANGEL GRIS,263,12,Calcena y Avellaneda Av.,Calcena,,Avellaneda Av.,Flores
