lat,long,nombre_estacion,id_estacion,capacidad,dirección_completa,direccion_nombre,direccion_altura,direccion_interseccion,barrio
-34.5968038,-58.4535687,303 - Huaura,395,16,Huaura 1474,Huaura,1474,,Villa Crespo
-34.601852,-58.448011,306 - Tres Arroyos Y Olaya,396,20,Tres Arroyos 327,Tres Arroyos,327,,Villa Crespo
-34.5979984,-58.4856262,308 - Artigas Y Melincue,397,12,"Artigas, Jose Gervasio, Gral. y Melincue","Artigas, Jose Gervasio, Gral.",,Melincue,Villa Del Parque
-34.5761817,-58.4546508,310 - Gregoria Perez,398,16,"Perez, Gregoria 3314","Perez, Gregoria",3314,,Colegiales
-34.6340414,-58.446273,312 - Parque Chacabuco  I,399,20,"Peron, Eva Av. y Achaval","Peron, Eva Av.",,Achaval,Parque Chacabuco
-34.579751,-58.471003,313 - De Los Incas,400,16,Donado 1378,Donado,1378,,Villa Ortuzar
-34.6347618,-58.4795922,314 - Ramón Falcon,401,20,"Falcon, Ramon L.,Cnel. 3792","Falcon, Ramon L.,Cnel.",3792,,Floresta
-34.5976121,-58.4985424,315 - BEIRO Y SAN MARTÍN,402,16,"Beiro, Francisco Av. 3209","Beiro, Francisco Av.",3209,,Devoto
-34.543949,-58.4408983,317 - Cero Más Infinito,404,20,,,,,Belgrano
-34.5767497,-58.4689771,318 - Plaza Y Carbajal,405,20,Plaza 1602,Plaza,1602,,Villa Ortuzar
-34.6009283,-58.3642613,326 - Emma De La Barra,406,16,"De La Barra,  Emma 301","De La Barra,  Emma",301,,Puerto Madero
-34.6429977,-58.4815713,330 - Parque Avellaneda,407,28,Directorio Av. y Fernandez,Directorio Av.,,Fernandez,Parque Avellaneda
-34.6600076,-58.4683699,337 - UTN,408,20,Mozart 2400,Mozart,2400,,Villa Lugano
-34.654801,-58.412878,339 - AMANCIO ALCORTA,409,24,"Alcorta, Amancio Av. 3805","Alcorta, Amancio Av.",3805,,Nueva Pompeya
-34.6385808,-58.4769856,368 - Ensenada,411,12,Ensenada 413,Ensenada,413,,Floresta
-34.6626285,-58.4411434,372 - Villa Soldati,412,16,"Triana, Rodrigo De 3102","Triana, Rodrigo De",3102,,Villa Soldati
-34.6545736,-58.379346,382 - CMD,413,16,Algarrobo 1016,Algarrobo,1016,,Barracas
-34.607731,-58.4383041,385 - Franklin,414,20,Franklin 440,Franklin,440,,Caballito
-34.6203961,-58.4637146,386 - Gavilan Y Vallese,415,20,Gavilan 786,Gavilan,786,,Flores
-34.5532664,-58.469072,257 - Plaza Francisco Ramirez,416,28,"Pedraza, Manuela 2700","Pedraza, Manuela",2700,,Nuñez
-34.6053524,-58.3880338,328 - Centro Cultural San Martin,417,20,Sarmiento 1501,Sarmiento,1501,,San Nicolas
-34.580773,-58.4446136,345 - Plaza Mafalda,418,20,"Arenal, Concepcion y Martinez, Enrique, Gral.","Arenal, Concepcion",,"Martinez, Enrique, Gral.",Colegiales
-34.547673,-58.467851,359 - Plaza Balcarce,419,20,Jaramillo 2324,Jaramillo,2324,,Nuñez
-34.5440696,-58.4390434,375 - Ciudad Universitaria I,420,20,,,,,Belgrano
-34.5419013,-58.4438699,376 - Ciudad Universitaria II,421,12,,,,,Belgrano
-34.5409892,-58.4442786,377 - Ciudad Uuniversitaria III,422,28,,,,,Belgrano
-34.638584,-58.399683,387 - Luna,424,16,Luna 201,Luna,201,,Parque Patricios
-34.6440763,-58.422091,394 - Av. La Plata,425,16,"Arbeletche, Anibal P. 804","Arbeletche, Anibal P.",804,,Nueva Pompeya
-34.555582,-58.457962,396 - PLAZA ALBERTI,426,20,Arcos y Roosevelt Franklin D.,Arcos,,Roosevelt Franklin D.,Belgrano
-34.64072,-58.367461,397 - PLAZA MATHEU,427,24,"Hernandarias y Araoz De Lamadrid, Gregorio, Gral.",Hernandarias,,"Araoz De Lamadrid, Gregorio, Gral.",Boca
-34.587458,-58.4739506,225 - HOSPITAL TORNU,428,20,Avalos 1052,Avalos,1052,,Parque Chas
-34.6115826,-58.484692,201 - JUAN AGUSTIN GARCIA,429,20,"Garcia, Juan Agustin 3074","Garcia, Juan Agustin",3074,,Villa Del Parque
-34.607981,-58.3778856,037 - Claudia Pia Braudacco,430,12,Esmeralda y Rivadavia Av.,Esmeralda,,Rivadavia Av.,San Nicolas
-34.5430055,-58.4361167,362 - PARQUE DE LA MEMORIA,431,20,"Obligado Rafael, Av.Costanera 7201","Obligado Rafael, Av.Costanera",7201,,Belgrano
-34.620249,-58.435877,187 - Jose Maria Moreno,432,20,"Moreno, Jose Maria Av. 141","Moreno, Jose Maria Av.",141,,Caballito
-34.637491,-58.373638,273 - Plazoleta Colombia,433,20,Brandsen 1619,Brandsen,1619,,Barracas
-34.5457258,-58.4650865,247 - Plaza Lucio Demare,434,12,O'Higgins 3750,O'Higgins,3750,,Nuñez
-34.5445971,-58.4595541,227 -Club Ciudad de Buenos Aires,435,16,"Sanchez, Miguel B. Av. y Del Libertador Av.","Sanchez, Miguel B. Av.",,Del Libertador Av.,Nuñez
-34.5782972,-58.4450299,253 - Plaza Colegiales,436,28,,Plaza Colegiales,,,Palermo
-34.61001199,-58.3749195,016 - Legislatura,441,20,Peru 169,Peru,169,"Roca, Julio A., Presidente Diagonal Sur Av.",Monserrat
-34.6056194,-58.371607,048 - Perón,442,15,"Peron, Juan Domingo, Tte. General 338","Peron, Juan Domingo, Tte. General",338,,San Nicolas
-34.6157533,-58.3706184,081 -Balcarce,443,18,Balcarce y Chile Av.,Balcarce,,Chile Av.,Monserrat
-34.6089087,-58.3711541,061-Ministerio de Economia,444,24,"Balcarce y Yrigoyen, Hipolito Av.",Balcarce,,"Yrigoyen, Hipolito Av.",Monserrat
-34.5832497,-58.3787309,393 - Barrio 31,448,16,Carlos H. Perette 11,Carlos H. Perette,11,"Perette, Carlos H.",Retiro
-34.6074084,-58.3950548,076 - Ayacucho,76,20,"Ayacucho y Peron, Juan Domingo, Tte. General",Ayacucho,,"Peron, Juan Domingo, Tte. General",Balvanera
-34.598549,-58.397354,43 - Plaza Houssay,328,16,"Cordoba Av. y Uriburu Jose E., Pres.",Cordoba Av.,,"Uriburu Jose E., Pres.",Recoleta
-34.6289374,-58.4636606,San Jose de Flores,449,24,Avenida Rivadavia y Fray Cayetano,Avenida Rivadavia,,Fray Cayetano,Flores
-34.613449,-58.423397,197 - Quintino Bocayuva,197,20,Quintino Bocayuva y Don Bosco,Quintino Bocayuva,,Don Bosco,Almagro
