COMUNA,NBI_prom
1,15.90384547100806
4,12.658426525407101
3,11.877399396190784
8,11.308501133942684
7,8.639838984818919
5,6.053665773104651
15,4.284827157938315
9,4.150809806177538
10,3.4969814329650304
14,2.354301482733827
6,2.2024498264373777
2,2.035960894236686
11,2.0207108872096278
13,1.8715300579069907
12,1.6996193361936165
