fin_de_semana,hora,LINEA,ID,promedio,q
False,6,LINEA_A,31,2.239130434782609,1
False,6,LINEA_A,32,2.7058823529411766,1
False,6,LINEA_A,33,2.8596491228070176,1
False,6,LINEA_A,34,2.74468085106383,1
False,6,LINEA_A,35,8.157142857142857,2
False,6,LINEA_A,36,2.0,1
False,6,LINEA_A,37,1.911764705882353,1
False,6,LINEA_A,38,5.813953488372093,1
False,6,LINEA_A,39,3.096774193548387,1
False,6,LINEA_A,40,3.21875,1
False,6,LINEA_A,41,3.1846153846153844,1
False,6,LINEA_A,42,3.264367816091954,1
False,6,LINEA_A,43,6.259740259740259,2
False,6,LINEA_A,70,7.82,2
False,6,LINEA_A,75,2.227722772277228,1
False,6,LINEA_A,76,2.375,1
False,6,LINEA_A,82,4.494623655913978,1
False,6,LINEA_A,83,4.919463087248322,1
False,6,LINEA_B,20,2.0185185185185186,1
False,6,LINEA_B,21,7.037037037037037,2
False,6,LINEA_B,22,2.5584415584415585,1
False,6,LINEA_B,23,4.975903614457831,1
False,6,LINEA_B,24,2.5076923076923077,1
False,6,LINEA_B,25,3.1,1
False,6,LINEA_B,26,3.438202247191011,1
False,6,LINEA_B,27,8.108108108108109,2
False,6,LINEA_B,28,4.44,1
False,6,LINEA_B,29,4.4945054945054945,1
False,6,LINEA_B,30,4.010869565217392,1
False,6,LINEA_B,66,7.334951456310679,2
False,6,LINEA_B,72,9.262135922330097,2
False,6,LINEA_B,73,4.365853658536586,1
False,6,LINEA_B,74,2.7333333333333334,1
False,6,LINEA_B,80,2.0923076923076924,1
False,6,LINEA_B,81,5.100671140939597,1
False,6,LINEA_C,13,14.529069767441861,3
False,6,LINEA_C,14,4.875,1
False,6,LINEA_C,15,2.3461538461538463,1
False,6,LINEA_C,16,4.9361702127659575,1
False,6,LINEA_C,17,2.462962962962963,1
False,6,LINEA_C,18,3.9491525423728815,1
False,6,LINEA_C,19,20.9328165374677,4
False,6,LINEA_C,57,4.0,1
False,6,LINEA_C,58,3.608695652173913,1
False,6,LINEA_D,6,2.276595744680851,1
False,6,LINEA_D,7,2.933333333333333,1
False,6,LINEA_D,8,2.2432432432432434,1
False,6,LINEA_D,9,4.770833333333333,1
False,6,LINEA_D,10,4.1466666666666665,1
False,6,LINEA_D,11,8.229166666666666,2
False,6,LINEA_D,12,12.628571428571428,3
False,6,LINEA_D,54,4.044117647058823,1
False,6,LINEA_D,55,2.4,1
False,6,LINEA_D,56,2.6451612903225805,1
False,6,LINEA_D,62,3.5671641791044775,1
False,6,LINEA_D,63,3.506849315068493,1
False,6,LINEA_D,64,2.691358024691358,1
False,6,LINEA_D,65,2.4615384615384617,1
False,6,LINEA_D,69,2.6036036036036037,1
False,6,LINEA_D,71,2.82648401826484,1
False,6,LINEA_E,44,2.721311475409836,1
False,6,LINEA_E,45,2.107142857142857,1
False,6,LINEA_E,46,3.185185185185185,1
False,6,LINEA_E,47,2.892857142857143,1
False,6,LINEA_E,48,2.6666666666666665,1
False,6,LINEA_E,49,2.575,1
