station_id,num_bikes_available,num_bikes_available_types,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,is_charging_station,status,name,capacity,lat,lon,timestamp_consulta
389,1,"{'mechanical': 1, 'ebike': 0}",1,18,0,1,1,1,1574868994,False,IN_SERVICE,286 - OEA,20,-34.62795,-58.44024,2019-11-27 12:37:08.432487-03:00
390,2,"{'mechanical': 2, 'ebike': 0}",0,18,0,1,1,1,1574869015,False,IN_SERVICE,288- 11 de septiembre,20,-34.547758,-58.459881,2019-11-27 12:37:08.432487-03:00
391,0,"{'mechanical': 0, 'ebike': 0}",1,19,0,1,1,1,1574868895,False,IN_SERVICE,295 - Larralde,20,-34.5508944,-58.4719176,2019-11-27 12:37:08.432487-03:00
392,0,"{'mechanical': 0, 'ebike': 0}",1,15,0,1,1,1,1574868987,False,IN_SERVICE,297 - TRONADOR Y GARCÍA DEL RÍO,16,-34.554754,-58.485419,2019-11-27 12:37:08.432487-03:00
393,0,"{'mechanical': 0, 'ebike': 0}",0,12,0,1,1,1,1574868971,False,IN_SERVICE,300 - Jose Artigas,12,-34.590848,-58.468535,2019-11-27 12:37:08.432487-03:00
394,1,"{'mechanical': 1, 'ebike': 0}",1,18,1,1,1,1,1574868977,False,IN_SERVICE,302 - Plaza Jose Marti,20,-34.649578,-58.462646,2019-11-27 12:37:08.432487-03:00
395,0,"{'mechanical': 0, 'ebike': 0}",0,16,0,1,1,1,1574868891,False,IN_SERVICE,303 - Huaura,16,-34.5968038,-58.4535687,2019-11-27 12:37:08.432487-03:00
396,1,"{'mechanical': 1, 'ebike': 0}",0,19,0,1,1,1,1574868857,False,IN_SERVICE,306 - Tres Arroyos Y Olaya,20,-34.601852,-58.448011,2019-11-27 12:37:08.432487-03:00
397,1,"{'mechanical': 1, 'ebike': 0}",1,10,0,1,1,1,1574868804,False,IN_SERVICE,308 - Artigas Y Melincue,12,-34.5979984,-58.4856262,2019-11-27 12:37:08.432487-03:00
398,1,"{'mechanical': 1, 'ebike': 0}",0,15,0,1,1,1,1574868798,False,IN_SERVICE,310 - Gregoria Perez,16,-34.5761817,-58.4546508,2019-11-27 12:37:08.432487-03:00
399,1,"{'mechanical': 1, 'ebike': 0}",0,19,0,1,1,1,1574868965,False,IN_SERVICE,312 - Parque Chacabuco  I,20,-34.6340414,-58.446273,2019-11-27 12:37:08.432487-03:00
400,0,"{'mechanical': 0, 'ebike': 0}",0,16,0,1,1,1,1574868913,False,IN_SERVICE,313 - De Los Incas,16,-34.579751,-58.471003,2019-11-27 12:37:08.432487-03:00
401,1,"{'mechanical': 1, 'ebike': 0}",2,17,1,1,1,1,1574868873,False,IN_SERVICE,314 - Ramón Falcon,20,-34.6347618,-58.4795922,2019-11-27 12:37:08.432487-03:00
402,0,"{'mechanical': 0, 'ebike': 0}",1,15,0,1,1,1,1574868915,False,IN_SERVICE,315 - BEIRO Y SAN MARTÍN,16,-34.5976121,-58.4985424,2019-11-27 12:37:08.432487-03:00
403,1,"{'mechanical': 1, 'ebike': 0}",0,19,0,1,1,1,1574868989,False,IN_SERVICE,316 - Buenos Aires,20,-34.6427408,-58.3897888,2019-11-27 12:37:08.432487-03:00
404,1,"{'mechanical': 1, 'ebike': 0}",0,19,0,1,1,1,1574868811,False,IN_SERVICE,317 - Cero Más Infinito,20,-34.543949,-58.4408983,2019-11-27 12:37:08.432487-03:00
405,0,"{'mechanical': 0, 'ebike': 0}",1,19,0,1,1,1,1574868804,False,IN_SERVICE,318 - Plaza Y Carbajal,20,-34.5767497,-58.4689771,2019-11-27 12:37:08.432487-03:00
406,13,"{'mechanical': 13, 'ebike': 0}",0,3,0,1,1,1,1574869011,False,IN_SERVICE,326 - Emma De La Barra,16,-34.6009283,-58.3642613,2019-11-27 12:37:08.432487-03:00
407,1,"{'mechanical': 1, 'ebike': 0}",3,24,2,1,1,1,1574868854,False,IN_SERVICE,330 - Parque Avellaneda,28,-34.6411352,-58.4802732,2019-11-27 12:37:08.432487-03:00
408,2,"{'mechanical': 2, 'ebike': 0}",6,12,1,1,1,1,1574868947,False,IN_SERVICE,337 - UTN,20,-34.6600076,-58.4683699,2019-11-27 12:37:08.432487-03:00
409,0,"{'mechanical': 0, 'ebike': 0}",1,7,0,1,1,1,1574868909,False,IN_SERVICE,339 - AMANCIO ALCORTA,8,-34.65687,-58.416201,2019-11-27 12:37:08.432487-03:00
